FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,PUESTO,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,ESTADO,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2
14/01/1991,FEMENINO,SOLTERO,LICENCIATURA,AUXILIAR COMERCIAL,PADRES,0,5100,COLIMA,28050,24,0,1,0,NO,1275,0,SI,PERDIDOS,V1F1
31/01/1976,MASCULINO,CASADO,SECUNDARIA,INTENDENTE,RENTADA,0,8000,COLIMA,28040,3,6,7,0,SINODATOS,500,303.84,NO,POTENCIALES,V2F2
05/04/1981,MASCULINO,CASADO,LICENCIATURA,GERENTE,PRESTADA,0,28000,COLIMA,28000,13,0,2,0,SINODATOS,2557.99,974.36,NO,PERDIDOS,V1F1
04/07/1994,FEMENINO,SOLTERO,BACHILLERATO,ENCAREA,FAMILIARES,0,8000,COLIMA,28070,3,0,0,1,NO,1136.76,0,NO,LEALTAD,V3F3
08/12/1987,FEMENINO,CASADO,BACHILLERATO,NINERA,RENTADA,0,4800,COLIMA,28869,2,0,2,0,SINODATOS,500,131.02,SI,POTENCIALES,V2F1
08/09/1996,FEMENINO,SOLTERO,BACHILLERATO,PROMOTOR,PAGANDOLA,0,7000,COLIMA,28000,8,0,0,3,NO,609.41,0,NO,POTENCIALES,V2F2
07/04/1977,FEMENINO,UNIONLIBRE,SECUNDARIA,PROPIETARIOTDA,PROPIA,0,15000,COLIMA,28466,38,0,3,0,SINODATOS,1330.02,78.82,SI,POTENCIALES,V2F1
20/01/1984,MASCULINO,CASADO,BACHILLERATO,CHOFER,RENTADA,0,5000,COLIMA,28984,3,0,1,0,SINODATOS,1040,0,NO,PERDIDOS,V1F1
18/09/1994,MASCULINO,CASADO,CARRERATECNICA,ALMACENISTA,PADRES,0,8000,COLIMA,28100,22,0,1,6,SINODATOS,800.28,0,NO,POTENCIALES,V1F1
15/04/1994,MASCULINO,SOLTERO,BACHILLERATO,PANADERO,RENTADA,0,8000,COLIMA,28984,1,6,3,0,NO,547.53,0,NO,POTENCIALES,V3F2
30/08/1991,MASCULINO,SOLTERO,LICENCIATURA,COMDIFDOMICILIO,PADRES,0,12000,COLIMA,28970,23,0,1,2,NO,1705.15,0,NO,POTENCIALES,V2F2
10/07/1984,FEMENINO,CASADO,CARRERATECNICA,PROPIETARIO1,PROPIA,0,15000,COLIMA,28000,8,0,11,0,SINODATOS,1705.15,351.42,SI,PERDIDOS,V1F2
22/02/1989,FEMENINO,DIVORCIADO,BACHILLERATO,SECRETARIA,FAMILIARES,0,9000,COLIMA,28000,4,0,5,0,SINODATOS,1090.34,106.92,SI,POTENCIALES,V1F2
05/08/1988,FEMENINO,SOLTERO,LICENCIATURA,PROFESOR,PADRES,0,6000,COLIMA,28000,29,0,4,0,NO,1705.15,198,NO,LEALTAD,V3F3
31/03/1983,MASCULINO,CASADO,LICENCIATURA,PROPIETARIO1,FAMILIARES,0,8835,COLIMA,28400,9,0,3,0,SINODATOS,2117.92,200,NO,PERDIDOS,V0F0
04/10/1973,MASCULINO,CASADO,BACHILLERATO,MESERO,PROPIA,0,10000,COLIMA,28400,4,0,30,0,SINDATO,1449.9,218.1,SI,PERDIDOS,V0F0
24/11/1984,FEMENINO,SOLTERO,CARRERATECNICA,ENCPEQUENEG,PADRES,0,12000,COLIMA,82350,35,0,12,0,NO,1555.5,800.48,SI,PERDIDOS,V0F0
12/04/1974,MASCULINO,CASADO,SECUNDARIA,COMERCIANTE,PROPIA,0,12000,COLIMA,28000,6,0,24,0,NO,1258.09,217.07,SI,PERDIDOS,V2F1
05/11/1978,MASCULINO,CASADO,LICENCIATURA,MECANICO,PROPIA,0,7794,COLIMA,28017,20,0,15,0,SI,2338.2,198,SI,PERDIDOS,V0F0
26/12/1991,MASCULINO,SOLTERO,BACHILLERATO,COMERCIANTE,PROPIA,0,8500,COLIMA,28000,20,0,4,0,NO,909.41,691.7,NO,LEALTAD,V3F4
26/11/1989,FEMENINO,CASADO,BACHILLERATO,EMPLEADO EN GENERAL,PADRES,0,3800,COLIMA,28000,0,2,6,0,SINODATOS,1140,0,NO,POTENCIALES,V2F1
11/05/1976,FEMENINO,SOLTERO,MAESTRIA,PROFESOR,RENTADA,0,10000,COLIMA,28048,0,9,11,0,SINODATOS,909.46,111.88,SI,PERDIDOS,V0F0
11/05/1976,FEMENINO,SOLTERO,LICENCIATURA,PROFESOR,PROPIA,0,10000,COLIMA,28000,1,0,12,0,NO,2453.36,505,SI,PERDIDOS,V0F0
01/12/1990,MASCULINO,SOLTERO,LICENCIATURA,PROFESOR,PADRES,0,8000,COLIMA,28979,26,0,3,0,NO,1591.47,139.44,NO,POTENCIALES,V3F2
08/10/1981,FEMENINO,CASADO,BACHILLERATO,REPOSTERO,RENTADA,0,8000,COLIMA,28000,1,0,3,6,SINODATOS,1311.47,0,SI,CAMPEONES,V4F5
20/08/1983,MASCULINO,SOLTERO,BACHILLERATO,COORDINADOR,PADRES,0,16000,COLIMA,28000,0,8,3,0,NO,1174.21,350.84,NO,POTENCIALES,V1F1
23/07/1964,FEMENINO,SOLTERO,PRIMARIA,DEPENDIENTE,PROPIA,0,8000,COLIMA,28815,4,0,6,0,SINODATOS,926.78,66.64,NO,POTENCIALES,V1F1
26/05/1971,FEMENINO,CASADO,BACHILLERATO,AUXCONTAB,PROPIA,0,7000,COLIMA,28000,16,0,11,0,NO,2100,202.82,SI,POTENCIALES,V1F1
16/10/1979,FEMENINO,CASADO,LICENCIATURA,SECRETARIA,PROPIA,0,14000,COLIMA,28600,40,0,15,0,SINODATOS,2093.75,198,SI,ATENCION ALTA,V2F2
28/03/1973,MASCULINO,CASADO,SECUNDARIA,EMPLEADO EN GENERAL,PROPIA,0,7000,COLIMA,28983,9,0,10,0,SINODATOS,1091.29,33,SI,POTENCIALES,V3F1
24/10/1978,FEMENINO,CASADO,LICENCIATURA,PROFESOR,FAMILIARES,0,8000,COLIMA,28400,24,0,10,0,SINODATOS,1756.3,343.96,NO,POTENCIALES,V3F2
13/03/1991,MASCULINO,UNIONLIBRE,LICENCIATURA,EMPLEADO EN GENERAL,PROPIA,2,30000,COLIMA,28070,0,6,9,0,SINODATOS,1349.04,0,NO,PERDIDOS,V0F0
20/03/1983,FEMENINO,CASADO,SECUNDARIA,COMERCIANTE,PROPIA,0,4000,COLIMA,28000,15,0,2,10,SINODATOS,1569.9,150,SI,LEALTAD,V3F3
11/02/1990,MASCULINO,CASADO,BACHILLERATO,PELUQUERO,FAMILIARES,0,6700,COLIMA,28048,3,0,2,0,NO,1876,0,NO,PERDIDOS,V0F0
06/01/1971,MASCULINO,CASADO,BACHILLERATO,ANALISTA,PROPIA,2,12000,COLIMA,28984,15,0,2,0,SINODATOS,2341.2,695.6,NO,ATENCION MEDIA,V1F1
09/12/1979,FEMENINO,CASADO,CARRERATECNICA,ENFERMEROTECNICO,PAGANDOLA,0,10000,COLIMA,28070,20,0,5,0,SINODATOS,1366.3,227.94,SI,POTENCIALES,V2F2
28/05/1987,FEMENINO,CASADO,SECUNDARIA,PROPIETARIO1,PROPIA,0,15000,COLIMA,28600,2,0,8,0,SINODATOS,1965.77,1244.8,SI,POTENCIALES,V1F2
30/05/1996,MASCULINO,UNIONLIBRE,LICENCIATURA,VENDEDOR AMBULANTE,PROPIA,2,15000,COLIMA,28000,3,0,1,8,SINODATOS,909.41,0,NO,POTENCIALES,V3F2
28/12/1987,FEMENINO,SOLTERO,BACHILLERATO,EMPLEADO EN GENERAL,PADRES,0,7000,COLIMA,28550,7,0,2,4,NO,1349.04,0,SI,POTENCIALES,V1F2
20/07/1975,FEMENINO,SOLTERO,SECUNDARIA,COCINERO,PROPIA,0,8000,COLIMA,28550,14,0,13,0,SINODATOS,1965.6,701,SI,POTENCIALES,V1F1
29/10/1989,MASCULINO,SOLTERO,SECUNDARIA,EMPLEADO EN GENERAL,RENTADA,0,7000,COLIMA,28000,2,0,9,0,NO,500,592,NO,POTENCIALES,V1F1
04/01/1987,FEMENINO,SOLTERO,LICENCIATURA,ENFERMERO,FAMILIARES,0,8000,COLIMA,28063,10,0,10,0,SINODATOS,2130.98,0,SI,ATENCION MEDIA,V1F1
06/11/1980,MASCULINO,CASADO,LICENCIATURA,JEFEDESERVICIOSPUBLICOS,PROPIA,0,33000,COLIMA,28968,11,0,14,0,NO,2867.94,807,NO,PERDIDOS,V0F0
25/11/1989,FEMENINO,SOLTERO,SECUNDARIA,ARCHIVISTA,PROPIA,0,7600,JALISCO,49840,30,0,0,6,NO,1976,-318.5,SI,POTENCIALES,V1F1
28/05/1971,FEMENINO,CASADO,SECUNDARIA,EMPDOMESTICA,PROPIA,0,4800,COLIMA,28000,15,0,3,0,SINODATOS,1090.34,-72.52,SI,POTENCIALES,V1F1
